code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
SH.600000,浦发银行,100,STOCK,N/A,,N/A,,N/A,N/A,1999-11-10,46832324995584,False,N/A,False,,CN_SH
SH.600004,白云机场,100,STOCK,N/A,,N/A,,N/A,N/A,2003-04-28,52265458625028,False,N/A,False,,CN_SH
SH.600006,东风汽车,100,STOCK,N/A,,N/A,,N/A,N/A,1999-07-27,46377058462214,False,N/A,False,,CN_SH
SH.600007,中国国贸,100,STOCK,N/A,,N/A,,N/A,N/A,1999-03-12,45788647942663,False,N/A,False,,CN_SH
SH.600008,首创环保,100,STOCK,N/A,,N/A,,N/A,N/A,2000-04-27,47558174468616,False,N/A,False,,CN_SH
SH.600009,上海机场,100,STOCK,N/A,,N/A,,N/A,N/A,1998-02-18,44126495599113,False,N/A,False,,CN_SH
SH.600010,包钢股份,100,STOCK,N/A,,N/A,,N/A,N/A,2001-03-09,48915384134154,False,N/A,False,,CN_SH
SH.600011,华能国际,100,STOCK,N/A,,N/A,,N/A,N/A,2001-12-06,1600011,False,N/A,False,,CN_SH
SH.600012,皖通高速,100,STOCK,N/A,,N/A,,N/A,N/A,2003-01-07,1600012,False,N/A,False,,CN_SH
SH.600015,华夏银行,100,STOCK,N/A,,N/A,,N/A,N/A,2003-09-12,52853869144591,False,N/A,False,,CN_SH
SH.600016,民生银行,100,STOCK,N/A,,N/A,,N/A,N/A,2000-12-19,48571786750480,False,N/A,False,,CN_SH
SH.600017,日照港,100,STOCK,N/A,,N/A,,N/A,N/A,2006-10-17,57711477156369,False,N/A,False,,CN_SH
SH.600018,上港集团,100,STOCK,N/A,,N/A,,N/A,N/A,2006-10-26,57750131862034,False,N/A,False,,CN_SH
SH.600019,宝钢股份,100,STOCK,N/A,,N/A,,N/A,N/A,2000-12-12,48541721979411,False,N/A,False,,CN_SH
SH.600020,中原高速,100,STOCK,N/A,,N/A,,N/A,N/A,2003-08-08,52703545289236,False,N/A,False,,CN_SH
SH.600021,上海电力,100,STOCK,N/A,,N/A,,N/A,N/A,2003-10-29,53055732607509,False,N/A,False,,CN_SH
SH.600022,山东钢铁,100,STOCK,N/A,,N/A,,N/A,N/A,2004-06-29,54103704627734,False,N/A,False,,CN_SH
SH.600023,浙能电力,100,STOCK,N/A,,N/A,,N/A,N/A,2013-12-19,68964291471895,False,N/A,False,,CN_SH
SH.600025,华能水电,100,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,75054555097625,False,N/A,False,,CN_SH
SH.600026,中远海能,100,STOCK,N/A,,N/A,,N/A,N/A,2002-05-23,1600026,False,N/A,False,,CN_SH
SH.600027,华电国际,100,STOCK,N/A,,N/A,,N/A,N/A,2005-02-03,69922069178907,False,N/A,False,,CN_SH
SH.600028,中国石化,100,STOCK,N/A,,N/A,,N/A,N/A,2001-08-08,67641441544732,False,N/A,False,,CN_SH
SH.600029,南方航空,100,STOCK,N/A,,N/A,,N/A,N/A,2003-07-25,1600029,False,N/A,False,,CN_SH
SH.600030,中信证券,100,STOCK,N/A,,N/A,,N/A,N/A,2003-01-06,51784422287902,False,N/A,False,,CN_SH
SH.600031,三一重工,100,STOCK,N/A,,N/A,,N/A,N/A,2003-07-03,52548926466591,False,N/A,False,,CN_SH
SH.600032,浙江新能,100,STOCK,N/A,,N/A,,N/A,N/A,2021-05-25,80414674283040,False,N/A,False,,CN_SH
SH.600033,福建高速,100,STOCK,N/A,,N/A,,N/A,N/A,2001-02-09,48795125049889,False,N/A,False,,CN_SH
SH.600035,楚天高速,100,STOCK,N/A,,N/A,,N/A,N/A,2004-03-10,53626963257891,False,N/A,False,,CN_SH
SH.600036,招商银行,100,STOCK,N/A,,N/A,,N/A,N/A,2002-04-09,50616191183396,False,N/A,False,,CN_SH
SH.600037,歌华有线,100,STOCK,N/A,,N/A,,N/A,N/A,2001-02-08,48790830082597,False,N/A,False,,CN_SH
SH.600038,中直股份,100,STOCK,N/A,,N/A,,N/A,N/A,2000-12-18,48567491783206,False,N/A,False,,CN_SH
SH.600039,四川路桥,100,STOCK,N/A,,N/A,,N/A,N/A,2003-03-25,52119429736999,False,N/A,False,,CN_SH
SH.600048,保利发展,100,STOCK,N/A,,N/A,,N/A,N/A,2006-07-31,57376469707312,False,N/A,False,,CN_SH
SH.600050,中国联通,100,STOCK,N/A,,N/A,,N/A,N/A,2002-10-09,51402170198578,False,N/A,False,,CN_SH
SH.600051,宁波联合,100,STOCK,N/A,,N/A,,N/A,N/A,1997-04-10,42777875868211,False,N/A,False,,CN_SH
SH.600052,东望时代,100,STOCK,N/A,,N/A,,N/A,N/A,1997-04-15,42799350704692,False,N/A,False,,CN_SH
SH.600053,九鼎投资,100,STOCK,N/A,,N/A,,N/A,N/A,1997-04-18,42812235606581,False,N/A,False,,CN_SH
SH.600054,黄山旅游,100,STOCK,N/A,,N/A,,N/A,N/A,1997-05-06,58952722704950,False,N/A,False,,CN_SH
SH.600055,万东医疗,100,STOCK,N/A,,N/A,,N/A,N/A,1997-05-19,42945379592759,False,N/A,False,,CN_SH
